country,city,station,date,observation,value,arrivals_2016_(mastercard),arrivals_2018_(eurovision)
United Arab Emirates,Dubai,AEM00041194,20161203,PRCP,0,1.527E7,1.59207E7
Hong Kong,Hong Kong,ASN00005051,20161203,PRCP,0,8370000.0,2.92627E7
United States,Los Angeles,ASN00010694,20161203,PRCP,0,5600000.0,6591300.0
China,Shanghai,ASN00012018,20161203,PRCP,0,6120000.0,7483500.0
Japan,Osaka,ASN00018019,20161203,PRCP,0,7020000.0,7861500.0
Japan,Osaka,ASN00018144,20161203,PRCP,0,7020000.0,7861500.0
Australia,Sydney,ASN00066013,20161203,PRCP,0,3750000.0,4090600.0
Australia,Sydney,ASN00066078,20161203,PRCP,0,3750000.0,4090600.0
Australia,Sydney,ASN00066124,20161203,TMIN,206,3750000.0,4090600.0
Australia,Sydney,ASN00066137,20161203,TMAX,277,3750000.0,4090600.0
Australia,Sydney,ASN00066188,20161203,PRCP,0,3750000.0,4090600.0
Australia,Sydney,ASN00066206,20161203,PRCP,0,3750000.0,4090600.0
Australia,Sydney,ASN00067026,20161203,PRCP,0,3750000.0,4090600.0
Australia,Sydney,ASN00067112,20161203,PRCP,0,3750000.0,4090600.0
Australia,Melbourne,ASN00086038,20161203,TMAX,232,2650000.0,2889000.0
Australia,Melbourne,ASN00086096,20161203,PRCP,0,2650000.0,2889000.0
Australia,Melbourne,ASN00086104,20161203,PRCP,0,2650000.0,2889000.0
Australia,Melbourne,ASN00086117,20161203,PRCP,0,2650000.0,2889000.0
Australia,Melbourne,ASN00086282,20161203,TMAX,232,2650000.0,2889000.0
Australia,Melbourne,ASN00087031,20161203,TMIN,78,2650000.0,2889000.0
Canada,Vancouver,CA001102415,20161203,TMAX,82,3900000.0,3212100.0
Canada,Vancouver,CA001102425,20161203,TAVG,65,3900000.0,3212100.0
Canada,Vancouver,CA001106CL2,20161203,SNOW,0,3900000.0,3212100.0
Canada,Vancouver,CA001107010,20161203,TMIN,71,3900000.0,3212100.0
Canada,Vancouver,CA001108380,20161203,TMIN,24,3900000.0,3212100.0
Canada,Vancouver,CA001108395,20161203,WDFG,24,3900000.0,3212100.0
Canada,Vancouver,CA001108910,20161203,WSFG,0,3900000.0,3212100.0
United Kingdom,London,CA006144473,20161203,WSFG,0,1.988E7,1.9233E7
United Kingdom,London,CA006144478,20161203,SNWD,0,1.988E7,1.9233E7
United Kingdom,London,CA006144478,20161203,TMAX,37,1.988E7,1.9233E7
Canada,Toronto,CA006155750,20161203,SNWD,0,4520000.0,4510300.0
Canada,Toronto,CA006158355,20161203,PRCP,0,4520000.0,4510300.0
Canada,Toronto,CA00615S001,20161203,SNOW,0,4520000.0,4510300.0
Australia,Sydney,CA008205702,20161203,SNWD,10,3750000.0,4090600.0
Australia,Sydney,CA008205702,20161203,TAVG,27,3750000.0,4090600.0
Australia,Sydney,CA1NS000070,20161203,PRCP,41,3750000.0,4090600.0
United Kingdom,London,CA1ON000071,20161203,PRCP,18,1.988E7,1.9233E7
China,Shanghai,CHM00058362,20161203,PRCP,3,6120000.0,7483500.0
Spain,Madrid,CO000080222,20161203,TAVG,132,5260000.0,5440100.0
Ireland,Dublin,EI000003969,20161203,TAVG,67,4970000.0,5213400.0
Ireland,Dublin,EIM00003967,20161203,TAVG,61,4970000.0,5213400.0
Ireland,Dublin,EIM00003967,20161203,TMIN,49,4970000.0,5213400.0
Germany,Munich,GM000004199,20161203,TMAX,22,5250000.0,4066600.0
Germany,Munich,GMM00010870,20161203,SNWD,0,5250000.0,4066600.0
Germany,Frankfurt am Main,GMW00035032,20161203,TMAX,41,3620000.0,2636000.0
Hungary,Budapest,HUM00012843,20161203,PRCP,0,3360000.0,3822800.0
Indonesia,Jakarta,IDM00096741,20161203,TMAX,335,1550000.0,4033000.0
India,Chennai,IN020040900,20161203,TMAX,295,4370000.0,6422800.0
Israel,Tel Aviv,ISE00105694,20161203,PRCP,185,990000.0,2777000.0
Italy,Rome,ITM00016245,20161203,TMIN,92,7120000.0,1.00654E7
Japan,Osaka,JA000047780,20161203,TMIN,25,7020000.0,7861500.0
Japan,Osaka,JAM00047772,20161203,PRCP,0,7020000.0,7861500.0
Saudi Arabia,Riyadh,MA000067197,20161203,TAVG,240,4590000.0,5267500.0
Malaysia,Kuala Lumpur,MYM00048647,20161203,TAVG,273,1.202E7,1.34343E7
Netherlands,Amsterdam,NLE00100503,20161203,PRCP,0,8000000.0,8354200.0
Ireland,Dublin,NLE00101904,20161203,SNWD,20,4970000.0,5213400.0
Netherlands,Amsterdam,NLE00101963,20161203,SNWD,0,8000000.0,8354200.0
Netherlands,Amsterdam,NLE00101997,20161203,PRCP,0,8000000.0,8354200.0
Ireland,Dublin,NLE00109042,20161203,SNWD,0,4970000.0,5213400.0
Ireland,Dublin,NLE00109062,20161203,PRCP,0,4970000.0,5213400.0
Ireland,Dublin,NLE00109216,20161203,SNWD,0,4970000.0,5213400.0
Ireland,Dublin,NLM00006280,20161203,TAVG,4,4970000.0,5213400.0
United States,San Francisco,RPM00098330,20161203,TAVG,286,3930000.0,2901000.0
Russia,Moscow,RSM00027612,20161203,TMIN,-60,1830000.0,5510000.0
Spain,Madrid,SPE00120296,20161203,TAVG,83,5260000.0,5440100.0
Spain,Madrid,SPE00120296,20161203,TMIN,28,5260000.0,5440100.0
Spain,Madrid,SPE00120296,20161203,TMAX,122,5260000.0,5440100.0
Sweden,Stockholm,SWE00138998,20161203,SNWD,0,2080000.0,2604600.0
Thailand,Bangkok,TH000048456,20161203,TMIN,243,2.147E7,2.41775E7
Ireland,Dublin,US1CACC0001,20161203,PRCP,0,4970000.0,5213400.0
United States,San Francisco,US1CACC0001,20161203,PRCP,0,3930000.0,2901000.0
Ireland,Dublin,US1CACC0010,20161203,PRCP,0,4970000.0,5213400.0
United States,San Francisco,US1CACC0010,20161203,PRCP,0,3930000.0,2901000.0
Ireland,Dublin,US1CACC0016,20161203,SNOW,0,4970000.0,5213400.0
United States,San Francisco,US1CAMR0002,20161203,SNOW,0,3930000.0,2901000.0
Ireland,Dublin,US1CASC0003,20161203,PRCP,0,4970000.0,5213400.0
Ireland,Dublin,US1CASC0007,20161203,SNOW,0,4970000.0,5213400.0
Ireland,Dublin,US1CASC0007,20161203,PRCP,0,4970000.0,5213400.0
United States,San Francisco,US1CASM0001,20161203,PRCP,0,3930000.0,2901000.0
Ireland,Dublin,US1CASM0006,20161203,PRCP,0,4970000.0,5213400.0
United States,San Francisco,US1CASM0006,20161203,PRCP,0,3930000.0,2901000.0
United States,San Francisco,US1CASM0007,20161203,PRCP,0,3930000.0,2901000.0
United States,San Francisco,US1CASM0016,20161203,PRCP,0,3930000.0,2901000.0
United States,San Francisco,US1CASM0016,20161203,SNOW,0,3930000.0,2901000.0
Austria,Vienna,US1DCDC0014,20161203,PRCP,0,6690000.0,6410300.0
Australia,Melbourne,US1FLBV0047,20161203,PRCP,0,2650000.0,2889000.0
United States,Miami,US1FLBW0016,20161203,PRCP,0,5240000.0,8121300.0
United States,Miami,US1FLMD0030,20161203,SNOW,0,5240000.0,8121300.0
United States,Miami,US1FLMD0059,20161203,PRCP,0,5240000.0,8121300.0
Ireland,Dublin,US1GADG0007,20161203,SNOW,0,4970000.0,5213400.0
Italy,Rome,US1GAFL0013,20161203,PRCP,0,7120000.0,1.00654E7
Italy,Rome,US1GAGD0003,20161203,SNOW,0,7120000.0,1.00654E7
Italy,Rome,US1GAPL0004,20161203,PRCP,0,7120000.0,1.00654E7
Austria,Vienna,US1MDMG0005,20161203,SNOW,0,6690000.0,6410300.0
Austria,Vienna,US1MDMG0008,20161203,SNWD,0,6690000.0,6410300.0
Austria,Vienna,US1MDMG0054,20161203,PRCP,0,6690000.0,6410300.0
Austria,Vienna,US1MDMG0078,20161203,PRCP,0,6690000.0,6410300.0
Austria,Vienna,US1MDMG0103,20161203,SNOW,0,6690000.0,6410300.0
Austria,Vienna,US1MDMG0106,20161203,PRCP,0,6690000.0,6410300.0
United States,New York City,US1NJBG0002,20161203,PRCP,0,1.275E7,1.36E7
United States,New York City,US1NJBG0003,20161203,SNOW,0,1.275E7,1.36E7
United States,New York City,US1NJBG0029,20161203,SNWD,0,1.275E7,1.36E7
United States,New York City,US1NJES0018,20161203,PRCP,0,1.275E7,1.36E7
United States,New York City,US1NJMN0011,20161203,PRCP,0,1.275E7,1.36E7
United States,New York City,US1NJMN0011,20161203,SNOW,0,1.275E7,1.36E7
United States,New York City,US1NJPS0005,20161203,SNWD,0,1.275E7,1.36E7
United States,New York City,US1NJPS0012,20161203,SNWD,0,1.275E7,1.36E7
Netherlands,Amsterdam,US1NYAB0001,20161203,PRCP,0,8000000.0,8354200.0
Italy,Rome,US1NYMD0014,20161203,SNWD,13,7120000.0,1.00654E7
United States,New York City,US1NYNS0014,20161203,PRCP,0,1.275E7,1.36E7
Italy,Rome,US1NYOD0023,20161203,SNOW,0,7120000.0,1.00654E7
Italy,Rome,US1NYOD0052,20161203,SNWD,0,7120000.0,1.00654E7
United States,New York City,US1NYRC0001,20161203,SNOW,0,1.275E7,1.36E7
Netherlands,Amsterdam,US1NYSC0017,20161203,PRCP,0,8000000.0,8354200.0
United States,New York City,US1NYWC0003,20161203,SNOW,0,1.275E7,1.36E7
Ireland,Dublin,US1OHDL0013,20161203,PRCP,0,4970000.0,5213400.0
Ireland,Dublin,US1OHDL0013,20161203,SNOW,0,4970000.0,5213400.0
Ireland,Dublin,US1OHFR0022,20161203,SNOW,0,4970000.0,5213400.0
Ireland,Dublin,US1OHFR0022,20161203,PRCP,0,4970000.0,5213400.0
Canada,Vancouver,US1ORCB0032,20161203,PRCP,71,3900000.0,3212100.0
Canada,Vancouver,US1ORMT0033,20161203,WESF,0,3900000.0,3212100.0
Canada,Vancouver,US1ORWS0007,20161203,PRCP,20,3900000.0,3212100.0
Canada,Vancouver,US1ORWS0104,20161203,PRCP,23,3900000.0,3212100.0
Canada,Vancouver,US1ORYM0019,20161203,PRCP,18,3900000.0,3212100.0
Austria,Vienna,US1VAFX0050,20161203,PRCP,0,6690000.0,6410300.0
Austria,Vienna,US1VAFX0053,20161203,PRCP,0,6690000.0,6410300.0
Austria,Vienna,US1VAPW0010,20161203,PRCP,0,6690000.0,6410300.0
United States,Los Angeles,USC00040144,20161203,PRCP,0,5600000.0,6591300.0
Ireland,Dublin,USC00040232,20161203,TMIN,50,4970000.0,5213400.0
Ireland,Dublin,USC00040693,20161203,TMIN,67,4970000.0,5213400.0
United States,San Francisco,USC00040693,20161203,TMIN,67,3930000.0,2901000.0
Ireland,Dublin,USC00041967,20161203,TOBS,161,4970000.0,5213400.0
United States,Los Angeles,USC00042214,20161203,TMIN,83,5600000.0,6591300.0
Ireland,Dublin,USC00044997,20161203,TMIN,28,4970000.0,5213400.0
Ireland,Dublin,USC00045915,20161203,TMAX,117,4970000.0,5213400.0
Ireland,Dublin,USC00045915,20161203,TOBS,117,4970000.0,5213400.0
Ireland,Dublin,USC00046144,20161203,WDMV,85,4970000.0,5213400.0
Ireland,Dublin,USC00046336,20161203,TMAX,178,4970000.0,5213400.0
United States,San Francisco,USC00046336,20161203,TMAX,178,3930000.0,2901000.0
United States,San Francisco,USC00047880,20161203,TMIN,50,3930000.0,2901000.0
United States,Los Angeles,USC00049152,20161203,TMAX,189,5600000.0,6591300.0
United States,Los Angeles,USC00049785,20161203,TMIN,128,5600000.0,6591300.0
United States,Miami,USC00081306,20161203,TMIN,239,5240000.0,8121300.0
United States,Miami,USC00083909,20161203,MXPN,311,5240000.0,8121300.0
Italy,Rome,USC00090044,20161203,SNOW,0,7120000.0,1.00654E7
